Subject,ResponseTime,Stimulus,Group
s1,226.27,auditory,NonMusician
s2,187.52,auditory,NonMusician
s3,279.77,auditory,NonMusician
s4,233.83,auditory,NonMusician
s5,180.83,auditory,NonMusician
s6,178.23,auditory,NonMusician
s7,193.69,auditory,NonMusician
s8,202.04,auditory,NonMusician
s9,355.93,auditory,NonMusician
s10,340.03,auditory,NonMusician
s11,259.7,auditory,NonMusician
s12,416.57,auditory,NonMusician
s13,392.18,auditory,NonMusician
s14,199.8,auditory,NonMusician
s15,269.45,auditory,NonMusician
s16,237.36,auditory,NonMusician
s17,458.59,auditory,NonMusician
s18,160.82,auditory,NonMusician
s19,167.92,auditory,NonMusician
s20,152.72,auditory,NonMusician
s21,180.36,auditory,NonMusician
s22,181.08,auditory,NonMusician
s23,162.33,auditory,NonMusician
s24,89.4,auditory,Musician
s25,110.67,auditory,Musician
s26,248.58,auditory,Musician
s27,131.68,auditory,Musician
s28,231.58,auditory,Musician
s29,253.5,auditory,Musician
s30,89.86,auditory,Musician
s31,136.64,auditory,Musician
s32,144.81,auditory,Musician
s33,162.72,auditory,Musician
s34,176.63,auditory,Musician
s35,180.22,auditory,Musician
s36,197.61,auditory,Musician
s1,255.53,visual,NonMusician
s2,309.43,visual,NonMusician
s3,363.5,visual,NonMusician
s4,378.66,visual,NonMusician
s5,267.97,visual,NonMusician
s6,288.1,visual,NonMusician
s7,301.48,visual,NonMusician
s8,288.68,visual,NonMusician
s9,388.87,visual,NonMusician
s10,291.67,visual,NonMusician
s11,319.33,visual,NonMusician
s12,332.33,visual,NonMusician
s13,496.63,visual,NonMusician
s14,238,visual,NonMusician
s15,240.5,visual,NonMusician
s16,313.57,visual,NonMusician
s17,396.17,visual,NonMusician
s18,276.1,visual,NonMusician
s19,236.68,visual,NonMusician
s20,311.68,visual,NonMusician
s21,232.5,visual,NonMusician
s22,235.9,visual,NonMusician
s23,235.52,visual,NonMusician
s24,265.3,visual,Musician
s25,271.113,visual,Musician
s26,316.5,visual,Musician
s27,247.66,visual,Musician
s28,254.11,visual,Musician
s29,327.5,visual,Musician
s30,296.17,visual,Musician
s31,285.97,visual,Musician
s32,239,visual,Musician
s33,194.93,visual,Musician
s34,224.6,visual,Musician
s35,240.93,visual,Musician
s36,234.95,visual,Musician
